weather_date,crime_count,average_temperature_f,reported_precipitation_inches,average_relative_humidity,average_wind_speed_mph,has_reported_weather_event,has_precipitation,has_rain,has_snow,has_thunderstorm
2009-11-30,1016,36.541666666666664,0.0,64.47916666666667,10.104166666666666,0,0,0,0,0
2009-12-01,1225,43.5,0.0,63.020833333333336,10.5625,0,0,0,0,0
2009-12-02,997,40.6875,0.041,73.70833333333333,10.75,1,1,1,0,0
2009-12-03,974,33.395833333333336,0.012,70.50694444444444,12.9375,1,1,1,1,0
2009-12-04,997,25.416666666666668,0.005,62.479166666666664,12.854166666666666,1,1,0,1,0
2009-12-05,912,27.75,0.006,54.270833333333336,7.583333333333333,1,1,0,1,0
2009-12-06,903,30.625,0.0,62.8125,8.3125,0,0,0,0,0
2009-12-07,901,29.52916666666667,0.044,80.11319444444445,5.378472222222222,1,1,0,1,0
2009-12-08,964,31.77916666666667,0.43499999999999994,85.49722222222222,10.6375,1,1,1,1,0
2009-12-09,908,27.909722222222225,0.17900000000000005,85.825,17.89027777777778,1,1,1,1,0
2009-12-10,803,7.409722222222222,0.003,64.73611111111111,18.194444444444446,1,1,0,1,0
2009-12-11,991,17.5625,0.001,62.166666666666664,8.416666666666666,0,1,0,0,0
2009-12-12,968,30.145833333333332,0.035,61.520833333333336,11.125,1,1,1,0,0
2009-12-13,878,35.104166666666664,0.008,88.33333333333333,6.0625,1,1,1,0,0
2009-12-14,1017,35.61111111111111,0.022000000000000002,88.81597222222223,8.95486111111111,1,1,1,0,0
2009-12-15,958,19.0625,0.0,63.34027777777778,12.840277777777777,0,0,0,0,0
2009-12-16,958,15.895833333333334,0.0,54.208333333333336,4.333333333333333,0,0,0,0,0
2009-12-17,1002,29.4375,0.0,61.770833333333336,6.375,0,0,0,0,0
2009-12-18,1071,35.33194444444444,0.06799999999999999,78.68055555555556,6.466666666666668,1,1,1,1,0
2009-12-19,918,32.88194444444444,0.16200000000000003,89.4513888888889,9.447916666666666,1,1,0,1,0
2009-12-20,908,29.145833333333332,0.019,81.3125,5.819444444444444,1,1,0,1,0
2009-12-21,918,27.8125,0.016,81.375,5.5,1,1,0,1,0
2009-12-22,884,30.447916666666668,0.15400000000000003,88.24166666666666,9.2875,1,1,0,1,0
2009-12-23,881,31.069444444444443,0.29500000000000004,83.20833333333333,15.819444444444445,1,1,1,1,0
2009-12-24,753,33.3125,0.35800000000000004,81.03125,13.638888888888891,1,1,1,0,0
2009-12-25,610,34.63194444444445,0.39200000000000007,84.5625,15.388888888888891,1,1,1,1,0
2009-12-26,753,23.813888888888886,0.041,80.81111111111112,10.429166666666665,1,1,0,1,0
2009-12-27,757,19.61111111111111,0.031000000000000003,81.69791666666666,9.07986111111111,1,1,0,1,0
2009-12-28,820,24.1875,0.0,71.64583333333333,13.5,1,0,0,0,0
2009-12-29,822,17.770833333333332,0.0,67.33333333333333,5.9375,0,0,0,0,0
2009-12-30,924,26.666666666666668,0.033,81.16666666666667,8.920138888888888,1,1,0,1,0
2009-12-31,816,25.354166666666668,0.026000000000000002,78.13194444444444,10.125,1,1,0,1,0
2010-01-01,1462,11.395833333333334,0.004,69.0625,10.395833333333334,1,1,0,1,0
2010-01-02,793,7.0,0.003,62.510416666666664,11.618055555555557,1,1,0,1,0
2010-01-03,760,10.3125,0.008,66.27777777777779,11.069444444444445,1,1,0,1,0
2010-01-04,855,14.0625,0.011000000000000001,69.97916666666667,10.833333333333334,1,1,0,1,0
2010-01-05,912,17.881944444444446,0.006,70.79861111111111,9.729166666666666,1,1,0,1,0
2010-01-06,887,15.826388888888888,0.0,76.7013888888889,5.75,1,0,0,0,0
2010-01-07,864,18.005555555555556,0.21300000000000002,84.24513888888889,5.594444444444444,1,1,0,1,0
2010-01-08,931,21.722916666666666,0.038000000000000006,72.95625,12.858333333333334,1,1,0,1,0
2010-01-09,821,15.362499999999999,0.006,67.37777777777778,7.852777777777778,1,1,0,1,0
2010-01-10,783,9.479166666666666,0.0,72.02083333333333,10.479166666666666,0,0,0,0,0
2010-01-11,955,22.333333333333332,0.014000000000000002,68.83333333333333,12.270833333333334,1,1,0,1,0
2010-01-12,1004,25.479166666666668,0.01,75.35416666666667,7.854166666666667,1,1,0,1,0
2010-01-13,991,26.541666666666668,0.0,73.66666666666667,11.166666666666666,0,0,0,0,0
2010-01-14,1078,35.354166666666664,0.0,75.84027777777779,9.82638888888889,1,0,0,0,0
2010-01-15,1212,30.458333333333332,0.0,86.64583333333333,5.520833333333333,1,0,0,0,0
2010-01-16,937,26.222222222222218,0.0,86.81944444444444,7.479166666666667,1,0,0,0,0
2010-01-17,903,26.680555555555554,0.006,88.36458333333333,5.274305555555555,1,1,0,1,0
2010-01-18,909,29.034722222222218,0.005,90.5763888888889,6.513888888888889,1,1,0,1,0
2010-01-19,1039,30.479166666666668,0.0,73.19444444444444,3.4791666666666665,1,0,0,0,0
2010-01-20,969,31.340277777777782,0.038000000000000006,73.61805555555556,15.065972222222221,1,1,1,0,0
2010-01-21,960,32.791666666666664,0.094,72.45833333333333,15.854166666666666,1,1,1,0,0
2010-01-22,1094,34.354166666666664,0.002,82.0,9.541666666666666,1,1,1,0,0
2010-01-23,1045,39.21527777777778,0.005,91.22222222222221,11.277777777777779,1,1,1,0,0
2010-01-24,829,40.83888888888889,0.3480000000000001,88.99444444444445,15.136111111111113,1,1,1,0,0
2010-01-25,925,28.645833333333332,0.016,75.11458333333333,15.263888888888891,1,1,0,1,0
2010-01-26,987,18.805555555555554,0.020999999999999998,71.68402777777777,16.04861111111111,1,1,0,1,0
2010-01-27,896,16.9375,0.012,72.02083333333333,12.864583333333334,1,1,0,1,0
2010-01-28,895,10.791666666666666,0.0,56.770833333333336,11.416666666666666,0,0,0,0,0
